,softness,smoothness,thickness,flexibility
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,2,3,2,2
12,4,4,3,2
13,,,,
14,4,3,1,1
15,4,4,2,3
16,5,5,1,5
17,3,3,3,3
18,4,5,2,2
19,1,1,5,1
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,3,4,3,2
32,1,1,1,2
33,4,3,4,4
34,5,3,5,3
35,,,,
36,4,4,1,2
37,,,,
38,4,4,2,4
39,5,5,1,1
40,4,4,2,4
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,2,1,4,1
62,5,5,2,5
63,3,2,5,1
64,2,5,3,2
65,2,2,3,3
66,,,,
67,,,,
68,,,,
69,,,,
70,3,3,2,4
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,3,1,3,1
77,,,,
78,,,,
79,,,,
80,,,,
81,3,2,1,3
82,,,,
83,3,2,2,5
84,1,1,5,1
85,2,2,3,3
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
