,softness,smoothness,thickness,flexibility
1,,,,
2,3,2,1,2
3,2,2,5,1
4,2,2,2,3
5,2,2,4,1
6,4,3,1,5
7,4,2,2,1
8,3,3,2,5
9,4,4,2,4
10,3,3,1,1
11,3,1,3,1
12,3,2,5,1
13,5,5,5,1
14,3,3,1,3
15,4,4,2,3
16,4,4,3,5
17,3,2,2,4
18,3,3,4,1
19,2,2,5,2
20,3,2,1,3
21,5,5,1,1
22,4,4,5,5
23,4,3,2,1
24,5,5,4,4
25,4,4,1,4
26,4,4,3,4
27,5,5,3,4
28,5,3,1,1
29,5,4,3,5
30,4,3,2,3
31,3,3,3,2
32,5,5,3,4
33,4,4,4,4
34,5,5,5,5
35,3,3,2,4
36,2,2,1,1
37,3,3,4,1
38,2,2,2,4
39,2,3,1,1
40,4,3,2,5
41,4,4,2,2
42,4,4,2,5
43,1,1,1,1
44,4,3,1,2
45,2,2,1,5
46,3,3,2,1
47,5,5,2,1
48,3,3,2,5
49,1,1,4,1
50,4,3,4,5
51,4,4,3,4
52,4,5,4,4
53,5,5,3,3
54,3,3,2,5
55,3,4,3,1
56,5,5,3,2
57,3,3,1,5
58,5,5,4,2
59,3,2,3,1
60,5,4,3,2
61,3,3,4,3
62,5,5,3,4
63,2,2,5,4
64,1,1,3,1
65,1,1,2,5
66,4,4,3,4
67,3,2,2,2
68,3,4,2,2
69,1,1,5,3
70,2,1,1,1
71,3,3,4,1
72,2,2,2,3
73,5,5,5,4
74,3,4,5,4
75,4,5,1,1
76,1,1,5,4
77,3,3,2,1
78,2,2,3,4
79,4,4,1,1
80,3,3,2,2
81,3,3,3,4
82,,,,
83,3,3,2,4
84,4,3,5,3
85,3,3,3,3
86,4,4,3,1
87,3,4,1,3
88,,,,
89,3,3,3,1
90,3,3,3,3
