,softness,smoothness,thickness,flexibility
1,,,,
2,2,1,1,1
3,,,,
4,4,4,2,2
5,2,2,4,1
6,4,3,2,5
7,3,2,4,2
8,4,3,2,4
9,4,4,3,5
10,2,3,2,2
11,,,,
12,,,,
13,,,,
14,,,,
15,2,1,1,1
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,2,5,1,1
22,5,3,5,4
23,4,4,2,2
24,,,,
25,3,3,1,2
26,3,4,1,3
27,4,3,3,4
28,,,,
29,3,5,1,1
30,4,5,1,2
31,2,4,1,3
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,3,3,1,2
41,5,5,2,4
42,1,1,1,2
43,4,4,2,4
44,1,2,1,2
45,,,,
46,3,3,1,1
47,2,3,2,1
48,3,2,1,1
49,,,,
50,1,1,4,1
51,3,2,2,4
52,4,2,1,1
53,1,4,4,2
54,4,3,1,5
55,4,4,2,5
56,4,5,4,1
57,,,,
58,5,5,4,1
59,3,4,4,2
60,2,2,4,3
61,5,4,2,3
62,,,,
63,5,5,1,5
64,5,3,5,4
65,,,,
66,4,2,3,4
67,3,4,4,5
68,3,3,1,2
69,1,4,1,1
70,3,2,4,4
71,3,4,2,2
72,4,3,3,3
73,5,4,4,3
74,4,2,5,4
75,2,4,1,1
76,2,4,1,1
77,4,2,3,2
78,4,5,1,1
79,3,1,2,1
80,2,2,3,1
81,5,3,3,2
82,,,,
83,,,,
84,,,,
85,,,,
86,3,3,3,1
87,4,2,2,5
88,,,,
89,4,3,3,2
90,5,3,4,3
