,softness,smoothness,thickness,flexibility
1,,,,
2,2,4,1,1
3,4,1,3,2
4,4,4,2,2
5,2,2,4,1
6,5,4,1,5
7,2,2,2,1
8,3,2,2,3
9,4,5,1,4
10,2,1,1,1
11,1,1,2,1
12,2,2,5,1
13,2,5,5,1
14,1,1,1,2
15,2,5,2,2
16,4,3,2,5
17,1,2,2,3
18,2,2,3,1
19,4,1,4,1
20,2,1,1,1
21,1,5,1,1
22,5,3,5,5
23,5,4,2,2
24,2,5,3,3
25,2,3,1,2
26,2,3,3,3
27,2,1,3,4
28,2,5,1,1
29,5,4,3,5
30,2,4,2,1
31,2,2,2,1
32,1,1,3,3
33,5,3,3,4
34,5,2,4,5
35,1,2,2,2
36,2,3,1,1
37,1,2,2,1
38,4,4,2,4
39,1,3,1,1
40,5,4,1,5
41,3,5,1,2
42,5,4,2,5
43,2,2,1,1
44,2,5,1,1
45,2,1,2,3
46,3,4,1,1
47,5,5,1,1
48,4,2,2,4
49,2,1,4,1
50,3,1,3,5
51,4,5,2,4
52,3,3,1,1
53,2,5,3,1
54,3,4,2,4
55,1,4,3,1
56,2,4,3,1
57,3,4,1,3
58,2,5,4,1
59,1,3,2,1
60,3,5,3,2
61,4,2,3,1
62,5,4,2,3
63,3,2,4,4
64,2,4,1,1
65,4,2,1,5
66,3,5,2,3
67,2,3,2,2
68,3,4,1,2
69,2,1,4,2
70,3,4,1,1
71,5,4,3,2
72,2,1,2,4
73,5,2,5,4
74,4,2,4,4
75,1,5,3,1
76,2,1,3,4
77,1,5,1,1
78,3,1,3,5
79,2,5,1,1
80,2,3,2,2
81,2,2,2,3
82,,,,
83,1,1,2,2
84,4,2,4,1
85,2,4,2,3
86,3,4,3,1
87,2,1,1,2
88,,,,
89,4,3,2,3
90,3,2,3,4
