,softness,smoothness,thickness,flexibility
1,,,,
2,3,3,1,3
3,5,2,5,4
4,3,3,2,3
5,2,3,4,1
6,4,5,2,4
7,2,2,4,2
8,3,4,3,2
9,4,5,3,4
10,3,2,4,2
11,2,2,5,1
12,4,4,5,1
13,5,5,2,1
14,1,2,2,3
15,3,2,2,2
16,4,5,3,5
17,2,2,2,2
18,2,2,3,2
19,2,2,5,2
20,1,1,2,1
21,5,5,1,1
22,4,4,5,4
23,5,5,2,2
24,3,3,4,2
25,2,2,1,2
26,3,3,3,4
27,2,2,3,3
28,2,2,2,1
29,5,4,3,5
30,2,2,2,2
31,3,4,2,2
32,2,1,4,2
33,4,4,4,3
34,5,5,5,3
35,2,2,2,2
36,3,2,1,2
37,2,1,4,2
38,4,4,2,3
39,3,2,2,2
40,2,4,2,4
41,4,2,1,2
42,4,4,2,4
43,1,2,2,1
44,4,4,1,1
45,1,1,2,3
46,3,2,1,2
47,4,5,2,2
48,2,2,3,4
49,1,1,4,1
50,1,2,4,2
51,3,4,3,3
52,3,3,3,2
53,1,4,4,2
54,2,2,3,3
55,3,3,3,2
56,4,5,3,2
57,3,2,2,2
58,2,3,4,1
59,2,2,4,1
60,4,4,4,2
61,2,2,3,2
62,5,4,3,3
63,1,2,4,2
64,2,2,3,1
65,3,2,3,3
66,4,4,3,3
67,2,3,3,2
68,4,3,3,2
69,1,1,3,2
70,2,2,2,1
71,4,4,3,2
72,1,2,3,2
73,5,4,4,2
74,5,2,5,2
75,3,4,2,1
76,1,1,3,2
77,2,2,1,1
78,2,2,2,3
79,1,3,1,1
80,2,3,2,2
81,3,3,3,2
82,,,,
83,3,3,3,2
84,4,3,3,2
85,2,3,3,2
86,4,2,3,2
87,1,2,2,3
88,,,,
89,3,1,2,2
90,2,2,2,2
