,softness,smoothness,thickness,flexibility
1,,,,
2,2,2,1,1
3,3,2,5,1
4,3,3,2,1
5,1,1,4,1
6,4,3,1,3
7,1,1,3,1
8,2,5,2,4
9,4,5,1,5
10,3,3,1,1
11,1,1,2,1
12,2,2,5,1
13,3,3,5,1
14,3,1,1,1
15,2,4,1,1
16,4,3,2,5
17,2,2,1,2
18,3,1,3,1
19,2,1,5,1
20,3,1,1,1
21,4,5,1,1
22,5,5,5,2
23,5,5,2,1
24,3,5,3,2
25,2,3,1,1
26,3,3,3,2
27,3,2,2,1
28,1,5,1,1
29,5,5,1,5
30,1,3,1,1
31,2,3,1,1
32,2,1,1,2
33,5,2,2,5
34,5,4,4,4
35,3,3,1,3
36,1,2,1,1
37,1,1,2,1
38,4,4,1,3
39,3,4,1,1
40,5,5,1,5
41,2,2,2,1
42,4,3,2,4
43,1,1,1,1
44,5,5,1,1
45,1,1,1,2
46,4,5,1,1
47,5,5,1,1
48,4,3,2,4
49,1,3,5,1
50,2,2,4,2
51,2,3,2,3
52,2,2,2,1
53,4,5,4,2
54,3,3,1,3
55,2,5,4,1
56,4,5,4,1
57,3,3,1,3
58,3,5,5,1
59,3,5,3,1
60,2,5,3,2
61,3,3,3,2
62,4,4,2,4
63,4,2,5,3
64,1,2,2,1
65,4,1,1,5
66,3,4,3,5
67,2,3,2,1
68,2,4,1,1
69,3,1,4,3
70,2,2,1,1
71,5,3,3,2
72,3,2,1,4
73,5,4,5,4
74,5,4,5,3
75,1,5,2,1
76,3,2,3,3
77,1,3,1,1
78,2,1,2,4
79,1,4,1,1
80,2,4,2,2
81,2,2,2,3
82,,,,
83,3,2,1,3
84,4,3,5,2
85,2,3,2,3
86,1,3,2,1
87,1,1,1,2
88,,,,
89,1,2,3,1
90,3,3,3,4
