,softness,smoothness,thickness,flexibility
1,,,,
2,2,1,2,1
3,3,1,2,2
4,2,2,4,3
5,1,1,5,1
6,3,3,1,2
7,2,1,4,1
8,3,3,2,2
9,4,3,2,2
10,1,1,1,1
11,1,1,4,2
12,1,1,5,1
13,4,4,5,1
14,1,1,1,1
15,4,4,3,1
16,4,3,2,5
17,1,1,3,2
18,1,1,4,1
19,1,1,3,1
20,1,1,1,1
21,2,5,2,1
22,5,3,5,2
23,4,2,3,1
24,5,5,5,1
25,1,4,2,1
26,3,3,4,3
27,1,1,3,1
28,3,5,2,1
29,4,3,3,4
30,3,2,2,4
31,3,4,3,2
32,1,1,1,2
33,5,3,5,3
34,5,3,5,5
35,3,2,1,1
36,2,2,1,1
37,1,1,4,1
38,4,3,3,5
39,1,2,3,2
40,4,2,1,4
41,4,5,3,2
42,4,2,2,4
43,1,1,1,1
44,2,5,2,1
45,1,1,1,1
46,2,5,2,1
47,4,3,2,1
48,4,3,3,4
49,1,1,5,1
50,2,1,4,3
51,5,3,4,5
52,5,3,3,3
53,2,4,5,2
54,2,2,2,5
55,2,5,5,2
56,4,5,5,2
57,4,2,3,4
58,4,5,5,2
59,3,5,5,1
60,5,5,5,1
61,2,2,5,1
62,5,3,4,5
63,2,2,4,4
64,2,5,3,1
65,3,2,2,5
66,5,4,4,5
67,2,4,3,4
68,4,4,2,1
69,2,1,4,1
70,2,4,2,1
71,5,4,2,1
72,1,1,2,1
73,5,3,5,5
74,5,3,5,4
75,3,5,3,1
76,3,2,2,1
77,2,3,1,1
78,1,1,2,4
79,3,4,1,1
80,4,3,3,2
81,5,3,3,2
82,,,,
83,4,2,3,5
84,5,2,5,3
85,3,2,2,2
86,4,5,3,1
87,1,1,2,2
88,,,,
89,4,2,3,3
90,5,2,3,3
