,softness,smoothness,thickness,flexibility
1,,,,
2,3,3,1,2
3,4,2,4,2
4,3,3,2,2
5,2,2,4,1
6,4,3,2,5
7,2,2,3,1
8,4,3,2,2
9,5,5,2,3
10,3,3,1,2
11,2,2,3,1
12,5,4,5,1
13,5,5,5,1
14,3,1,1,2
15,3,4,2,2
16,4,4,3,5
17,4,2,2,3
18,3,2,3,1
19,3,2,5,1
20,3,2,1,1
21,3,4,1,1
22,5,3,5,5
23,4,4,3,1
24,4,5,4,2
25,3,3,1,2
26,3,3,4,3
27,3,2,2,3
28,3,4,1,1
29,4,3,3,5
30,4,4,2,2
31,4,4,2,2
32,3,2,2,4
33,5,4,4,5
34,5,4,5,5
35,3,2,1,4
36,3,2,1,1
37,2,1,3,1
38,4,4,2,4
39,3,3,1,2
40,5,3,2,4
41,4,4,2,2
42,5,4,2,4
43,3,1,1,1
44,3,5,1,1
45,3,1,1,2
46,4,3,2,2
47,2,5,2,1
48,4,2,2,4
49,1,1,3,1
50,4,3,4,5
51,4,4,2,4
52,3,4,1,2
53,3,5,3,2
54,4,3,2,4
55,2,5,2,1
56,4,5,4,1
57,4,4,3,4
58,3,5,4,2
59,3,4,3,1
60,4,5,3,2
61,3,3,3,1
62,4,5,4,5
63,4,3,4,4
64,3,2,2,1
65,3,3,3,5
66,3,4,3,4
67,3,3,2,3
68,3,4,2,2
69,4,1,4,2
70,4,3,2,1
71,4,4,2,2
72,3,2,2,2
73,5,3,4,4
74,5,3,4,3
75,2,4,2,1
76,3,1,3,3
77,2,4,1,1
78,3,2,3,3
79,3,4,1,1
80,4,4,2,2
81,1,2,2,2
82,,,,
83,3,1,2,3
84,5,2,5,1
85,2,2,1,2
86,3,4,4,1
87,4,2,2,2
88,,,,
89,3,3,2,2
90,4,3,3,3
