,softness,smoothness,thickness,flexibility
1,,,,
2,2,5,1,1
3,3,1,5,2
4,5,3,3,3
5,1,5,1,5
6,4,1,4,1
7,2,5,2,3
8,2,5,2,4
9,1,4,3,2
10,4,5,1,2
11,3,1,5,1
12,5,2,5,1
13,5,2,4,1
14,4,2,1,1
15,4,4,3,1
16,4,3,3,5
17,1,1,1,4
18,3,2,3,4
19,2,3,4,4
20,5,2,1,5
21,1,5,1,1
22,5,1,5,4
23,5,4,3,3
24,1,5,3,1
25,1,5,1,1
26,3,3,5,2
27,2,3,4,2
28,5,5,1,1
29,5,3,3,5
30,3,1,3,4
31,2,3,3,4
32,2,1,2,4
33,5,5,3,5
34,5,4,5,5
35,3,2,4,4
36,2,1,1,1
37,1,2,4,1
38,4,4,2,4
39,4,5,1,2
40,5,5,1,5
41,4,4,1,3
42,5,3,3,5
43,3,3,1,2
44,2,5,3,1
45,4,2,1,3
46,5,5,1,1
47,1,5,1,1
48,5,3,4,5
49,1,1,5,1
50,4,3,5,5
51,4,3,2,5
52,3,3,3,2
53,1,5,4,2
54,4,2,2,4
55,1,5,5,2
56,1,5,5,1
57,4,3,3,5
58,1,5,5,1
59,1,4,4,2
60,2,4,4,1
61,3,3,3,1
62,3,5,2,4
63,5,2,3,3
64,1,4,2,1
65,5,3,2,4
66,2,4,2,4
67,3,4,2,5
68,3,3,1,2
69,2,1,5,4
70,4,2,1,3
71,4,3,2,2
72,1,1,2,1
73,4,3,4,4
74,5,3,4,4
75,3,5,3,1
76,3,2,2,1
77,5,2,1,1
78,2,4,4,5
79,5,2,2,2
80,3,3,4,3
81,2,2,4,4
82,,,,
83,3,4,4,5
84,4,2,4,4
85,2,3,3,4
86,2,4,4,1
87,2,1,2,4
88,3,2,2,4
89,,,,
90,4,2,4,4
