,softness,smoothness,thickness,flexibility
1,,,,
2,2,2,1,2
3,4,1,4,1
4,4,4,2,3
5,2,5,3,1
6,5,3,2,4
7,3,3,3,2
8,3,3,2,3
9,3,3,2,3
10,1,4,1,1
11,1,3,3,1
12,2,4,5,1
13,2,5,5,1
14,1,1,1,1
15,1,4,2,2
16,5,3,2,5
17,4,3,1,2
18,3,2,2,1
19,3,1,4,1
20,5,5,1,1
21,5,5,1,1
22,4,3,5,4
23,4,1,2,1
24,1,5,4,1
25,1,5,1,1
26,3,2,3,3
27,2,2,3,2
28,1,5,1,1
29,4,3,3,4
30,3,4,2,2
31,3,4,2,3
32,2,1,2,3
33,5,2,3,5
34,4,2,5,3
35,4,2,2,2
36,4,4,1,1
37,2,5,4,1
38,5,3,1,5
39,5,4,1,1
40,5,5,1,4
41,4,4,1,2
42,5,3,1,3
43,2,2,2,1
44,2,5,1,1
45,3,1,1,2
46,2,2,1,2
47,3,3,2,2
48,3,3,3,4
49,1,4,3,2
50,4,2,3,3
51,3,3,3,5
52,4,4,2,2
53,2,5,4,1
54,4,3,2,5
55,2,5,3,1
56,4,5,4,1
57,4,3,1,5
58,1,5,4,1
59,2,5,4,1
60,3,4,4,2
61,2,2,3,2
62,2,4,2,5
63,3,1,3,4
64,1,5,1,1
65,5,4,2,5
66,3,5,2,5
67,2,4,2,3
68,1,4,1,1
69,3,1,4,3
70,2,4,1,2
71,4,2,2,1
72,2,1,2,1
73,5,2,5,4
74,3,3,5,3
75,1,5,3,1
76,3,1,3,3
77,1,4,1,2
78,3,2,3,5
79,2,4,1,1
80,3,3,2,2
81,2,3,3,2
82,,,,
83,3,2,2,3
84,2,1,4,3
85,3,3,1,4
86,1,2,3,1
87,2,1,2,2
88,,,,
89,3,3,3,5
90,3,2,3,3
