,softness,smoothness,thickness,flexibility
1,,,,
2,3,3,1,2
3,4,3,3,4
4,3,4,1,2
5,1,2,5,1
6,5,5,1,4
7,3,2,4,2
8,4,3,2,3
9,4,3,2,3
10,3,2,1,1
11,1,2,4,1
12,4,4,3,2
13,5,5,4,2
14,2,2,1,1
15,3,3,2,2
16,5,4,2,2
17,2,1,2,2
18,3,2,2,3
19,4,3,3,3
20,2,1,1,1
21,2,5,1,1
22,4,4,5,4
23,4,4,3,3
24,1,2,4,2
25,1,3,1,1
26,3,3,3,2
27,2,1,2,1
28,2,2,1,1
29,4,5,2,2
30,2,2,1,1
31,3,3,1,1
32,1,1,2,1
33,3,2,3,1
34,4,5,4,1
35,1,3,1,1
36,1,1,1,1
37,1,1,2,1
38,2,2,2,1
39,1,1,1,1
40,3,2,1,3
41,3,4,4,3
42,4,3,3,5
43,2,2,2,2
44,5,5,1,1
45,1,1,1,3
46,4,3,1,2
47,5,5,1,1
48,3,3,2,5
49,2,2,5,2
50,1,1,4,5
51,4,3,2,5
52,5,4,1,4
53,5,5,4,3
54,4,2,2,4
55,5,5,4,2
56,5,5,4,5
57,4,2,1,5
58,5,5,5,2
59,2,3,3,3
60,5,5,2,4
61,1,2,3,2
62,3,3,2,5
63,5,2,5,5
64,5,2,2,2
65,5,2,2,5
66,3,3,2,3
67,2,2,2,2
68,3,3,1,2
69,1,1,2,3
70,1,1,1,1
71,4,3,2,1
72,1,2,1,2
73,5,5,3,3
74,4,3,3,3
75,1,1,1,1
76,2,2,3,4
77,1,1,1,1
78,1,1,2,2
79,1,1,1,1
80,3,2,1,1
81,1,1,1,2
82,,,,
83,1,1,1,3
84,3,3,3,2
85,2,1,1,3
86,1,2,2,1
87,2,1,1,3
88,,,,
89,3,2,2,2
90,2,3,2,3
