,softness,smoothness,thickness,flexibility
1,,,,
2,3,1,1,1
3,5,4,5,3
4,4,3,2,2
5,1,1,4,1
6,3,4,1,3
7,2,2,2,1
8,3,3,2,2
9,4,4,2,4
10,3,2,2,2
11,2,1,2,1
12,4,5,5,1
13,4,5,5,1
14,4,2,2,1
15,2,3,1,1
16,4,2,2,5
17,3,1,1,1
18,2,2,3,1
19,4,2,4,1
20,4,1,1,1
21,1,1,1,1
22,5,4,5,3
23,4,4,2,1
24,1,4,3,1
25,1,5,1,1
26,3,3,4,2
27,3,3,2,1
28,2,4,1,1
29,4,3,3,3
30,3,2,2,2
31,4,3,2,2
32,2,4,2,3
33,4,5,3,4
34,5,4,4,4
35,4,2,2,2
36,2,1,1,1
37,1,2,2,1
38,4,3,2,4
39,2,4,1,1
40,5,2,1,4
41,4,4,1,1
42,5,3,2,4
43,2,1,1,3
44,1,4,1,1
45,4,2,2,1
46,2,3,1,1
47,2,4,1,1
48,4,4,2,3
49,1,1,3,1
50,4,2,3,4
51,4,4,2,4
52,3,4,2,2
53,4,4,4,2
54,3,2,2,4
55,1,5,3,1
56,4,5,3,3
57,4,4,2,3
58,1,5,4,1
59,2,5,3,1
60,3,5,3,2
61,3,3,3,1
62,3,4,2,5
63,4,2,3,3
64,1,4,1,1
65,5,3,2,5
66,2,4,2,4
67,3,3,1,1
68,3,3,1,1
69,2,2,3,1
70,5,2,1,1
71,4,4,2,1
72,3,2,2,1
73,4,4,3,3
74,4,4,3,4
75,2,4,1,1
76,3,2,3,3
77,2,4,1,1
78,4,2,2,4
79,2,4,1,1
80,4,4,1,2
81,2,3,2,1
82,,,,
83,4,2,2,2
84,5,3,3,1
85,4,4,2,1
86,1,4,2,1
87,3,2,1,1
88,,,,
89,5,3,2,4
90,4,4,2,3
