,softness,smoothness,thickness,flexibility
1,,,,
2,,,,
3,,,,
4,4,2,3,3
5,1,1,3,1
6,,,,
7,,,,
8,,,,
9,4,4,3,4
10,5,2,5,5
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,3,4,1,1
24,,,,
25,4,2,2,4
26,,,,
27,,,,
28,,,,
29,5,5,2,5
30,5,4,2,5
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,5,5,2,4
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,2,3,2,1
47,4,4,2,3
48,,,,
49,,,,
50,,,,
51,4,4,2,4
52,5,2,2,5
53,4,1,1,1
54,3,2,1,5
55,5,3,3,4
56,,,,
57,,,,
58,,,,
59,5,2,2,5
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,3,4,1,2
69,,,,
70,3,4,1,1
71,1,2,1,1
72,5,1,2,4
73,5,2,4,5
74,,,,
75,3,5,2,1
76,4,1,3,5
77,,,,
78,5,4,1,4
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,4,4,3,1
87,1,2,1,2
88,,,,
89,2,2,3,1
90,3,2,3,4
