,softness,smoothness,thickness,flexibility
1,,,,
2,2,1,1,4
3,4,2,4,2
4,4,3,3,3
5,2,2,2,1
6,3,4,2,4
7,4,3,2,2
8,3,4,3,3
9,4,3,2,5
10,3,2,1,2
11,2,2,2,1
12,3,4,5,1
13,4,3,4,3
14,5,2,1,1
15,4,2,1,1
16,4,4,2,4
17,2,2,1,2
18,2,2,3,2
19,4,2,5,3
20,3,2,3,4
21,1,4,3,1
22,5,3,5,4
23,4,4,1,2
24,5,5,5,5
25,3,3,1,5
26,3,2,2,3
27,4,1,4,4
28,3,3,1,4
29,5,3,3,2
30,3,3,1,2
31,3,4,3,3
32,5,2,1,5
33,5,5,5,3
34,5,4,4,5
35,1,3,1,2
36,1,1,1,1
37,1,1,4,1
38,4,3,1,3
39,3,1,1,1
40,5,3,2,5
41,2,3,2,2
42,4,3,2,5
43,1,1,1,1
44,2,4,2,1
45,3,3,2,3
46,2,2,1,2
47,5,5,2,1
48,4,2,2,4
49,1,1,4,1
50,3,4,4,4
51,4,3,2,1
52,5,2,1,2
53,5,5,5,5
54,5,3,1,5
55,3,5,3,1
56,4,5,5,1
57,2,3,1,4
58,2,5,5,1
59,2,3,5,1
60,3,5,4,1
61,4,2,2,3
62,3,5,1,4
63,3,2,3,5
64,2,4,3,1
65,4,4,2,4
66,2,5,3,4
67,2,2,2,2
68,3,3,1,2
69,5,1,5,1
70,2,1,1,2
71,5,4,2,2
72,2,2,1,3
73,5,3,5,4
74,5,3,4,3
75,2,5,2,1
76,4,3,5,3
77,4,3,2,1
78,5,1,2,4
79,4,3,1,1
80,5,4,1,3
81,2,3,3,3
82,,,,
83,4,3,3,3
84,5,2,4,1
85,4,4,1,2
86,2,4,3,1
87,3,2,1,3
88,,,,
89,4,4,3,3
90,4,3,4,3
