,softness,smoothness,thickness,flexibility
1,,,,
2,3,2,1,1
3,4,3,4,4
4,5,3,2,2
5,2,3,4,2
6,5,4,2,4
7,2,1,3,1
8,3,5,3,2
9,4,2,2,5
10,2,2,3,3
11,1,1,4,4
12,5,2,5,1
13,3,5,5,4
14,2,2,2,4
15,4,4,2,3
16,4,2,4,5
17,2,2,1,4
18,2,2,2,1
19,4,2,4,1
20,1,4,1,2
21,5,5,1,1
22,5,5,5,4
23,5,4,1,1
24,4,5,4,3
25,3,5,1,1
26,2,3,2,2
27,2,1,5,5
28,2,5,1,1
29,4,2,1,5
30,2,5,1,2
31,2,2,3,4
32,1,1,1,2
33,5,3,3,2
34,5,5,5,3
35,2,1,1,3
36,2,2,1,1
37,1,1,3,1
38,4,4,2,4
39,1,1,2,2
40,4,2,3,5
41,2,5,1,2
42,4,2,2,5
43,1,2,1,1
44,2,4,2,1
45,3,2,1,3
46,4,2,2,1
47,4,5,1,1
48,4,2,2,5
49,2,2,3,1
50,5,3,3,5
51,2,2,1,5
52,4,3,2,3
53,3,4,3,3
54,3,2,2,5
55,1,4,4,1
56,4,4,3,3
57,5,3,1,4
58,3,5,3,2
59,2,1,3,2
60,4,3,2,4
61,5,2,3,3
62,4,4,4,5
63,1,2,4,4
64,1,2,4,2
65,5,2,3,5
66,3,5,3,5
67,4,4,2,4
68,2,5,1,1
69,3,1,3,1
70,3,4,1,1
71,4,4,1,2
72,2,2,1,3
73,5,3,4,1
74,5,4,5,4
75,2,5,2,1
76,3,3,3,2
77,3,5,1,4
78,4,3,3,4
79,5,4,2,1
80,4,4,4,3
81,4,3,1,2
82,,,,
83,2,4,3,1
84,5,5,4,4
85,2,4,2,4
86,2,4,2,1
87,2,2,1,1
88,,,,
89,2,3,2,4
90,3,2,2,4
