,softness,smoothness,thickness,flexibility
1,,,,
2,4,3,1,1
3,5,3,4,3
4,4,3,2,2
5,1,2,3,1
6,4,4,2,5
7,2,2,3,1
8,4,4,2,2
9,5,4,2,4
10,5,2,1,1
11,3,2,3,1
12,3,3,4,1
13,4,1,5,1
14,5,3,1,5
15,4,3,1,2
16,5,3,3,5
17,4,2,2,3
18,4,2,2,1
19,5,2,5,2
20,5,1,1,2
21,5,5,1,1
22,4,3,5,5
23,4,4,2,2
24,3,5,3,3
25,4,4,1,3
26,4,3,3,4
27,4,2,2,2
28,5,3,1,1
29,5,5,2,5
30,5,3,1,3
31,4,4,1,2
32,4,1,1,4
33,5,5,4,4
34,5,5,5,5
35,5,3,1,4
36,3,2,1,1
37,1,1,3,1
38,5,4,2,4
39,5,2,1,2
40,5,4,1,5
41,5,5,2,1
42,5,4,2,5
43,4,1,1,1
44,4,5,1,2
45,5,1,1,5
46,4,4,1,1
47,4,4,2,1
48,5,3,2,5
49,1,2,3,1
50,5,2,2,4
51,4,4,2,4
52,5,5,2,3
53,5,5,3,2
54,4,3,2,4
55,3,5,3,2
56,4,5,3,2
57,5,4,1,4
58,3,5,4,3
59,3,4,2,3
60,4,5,2,4
61,5,5,2,2
62,5,5,2,5
63,4,3,3,4
64,3,1,2,1
65,5,3,2,5
66,3,4,2,5
67,3,3,1,3
68,5,3,1,2
69,3,1,3,2
70,4,2,1,2
71,4,4,2,2
72,4,1,1,3
73,5,5,4,4
74,4,4,4,3
75,2,4,1,1
76,4,2,2,3
77,3,1,1,1
78,4,2,2,4
79,3,3,1,1
80,4,4,2,2
81,3,3,2,3
82,,,,
83,4,3,2,3
84,3,3,3,2
85,4,3,1,3
86,3,4,2,1
87,5,2,1,3
88,,,,
89,3,2,2,3
90,5,3,2,4
