,softness,smoothness,thickness,flexibility
1,,,,
2,2,3,1,1
3,4,3,5,2
4,3,3,2,3
5,2,2,2,1
6,5,4,1,4
7,3,3,3,2
8,4,4,1,4
9,4,4,3,4
10,3,2,1,1
11,3,2,3,1
12,4,4,4,1
13,4,4,5,1
14,4,2,1,1
15,3,4,1,2
16,4,4,3,5
17,2,1,1,2
18,4,2,3,3
19,4,2,4,3
20,4,4,1,4
21,5,5,1,1
22,5,2,5,5
23,5,4,2,2
24,5,5,3,4
25,3,5,1,4
26,4,3,3,5
27,4,2,4,5
28,3,5,1,1
29,5,3,3,5
30,4,3,1,3
31,4,2,3,2
32,3,2,2,5
33,5,4,2,5
34,5,5,5,5
35,4,2,1,3
36,2,1,1,2
37,1,1,3,1
38,4,3,2,5
39,3,5,1,2
40,5,4,1,5
41,5,5,1,2
42,4,2,2,5
43,2,4,1,1
44,4,5,1,1
45,4,2,3,3
46,2,4,1,1
47,4,5,1,1
48,4,3,3,5
49,2,1,4,1
50,5,3,5,5
51,4,4,2,5
52,3,2,1,2
53,4,5,4,4
54,4,2,2,5
55,3,5,3,1
56,3,4,3,1
57,3,3,2,5
58,4,5,4,4
59,3,5,3,1
60,3,5,3,3
61,5,2,4,1
62,5,3,3,5
63,5,3,5,4
64,4,3,1,1
65,4,2,3,5
66,5,4,3,5
67,5,4,1,4
68,4,3,1,1
69,3,1,4,4
70,2,4,1,1
71,5,2,3,3
72,4,2,1,3
73,5,3,5,5
74,5,3,5,5
75,3,5,1,1
76,3,1,4,5
77,3,5,1,1
78,4,2,4,5
79,3,5,1,1
80,4,4,2,2
81,4,4,2,2
82,,,,
83,4,2,2,3
84,5,3,5,4
85,4,4,2,4
86,4,4,2,1
87,2,2,1,3
88,,,,
89,4,2,3,3
90,5,1,5,5
