,softness,smoothness,thickness,flexibility
1,,,,
2,2,1,2,2
3,4,2,5,3
4,5,4,3,2
5,4,2,3,1
6,2,2,2,3
7,3,2,3,1
8,3,3,3,2
9,4,3,2,4
10,4,2,1,1
11,5,2,3,1
12,1,1,5,1
13,4,2,5,1
14,3,1,4,3
15,3,2,2,1
16,4,3,3,5
17,2,1,3,2
18,4,2,3,2
19,4,1,5,3
20,1,1,1,4
21,1,2,1,1
22,4,2,5,3
23,5,3,4,1
24,3,3,3,1
25,2,2,1,1
26,5,4,3,3
27,5,2,4,2
28,2,2,2,1
29,5,4,3,5
30,4,2,2,3
31,1,2,2,2
32,1,1,2,4
33,5,3,4,4
34,5,3,5,4
35,3,2,2,3
36,1,1,1,2
37,1,1,3,1
38,3,3,2,4
39,3,1,1,2
40,5,4,2,4
41,3,3,2,1
42,4,3,2,3
43,1,1,1,2
44,1,1,1,1
45,3,1,2,2
46,1,2,1,1
47,3,4,1,1
48,5,3,3,4
49,1,1,3,1
50,5,2,3,4
51,4,3,2,4
52,5,4,2,2
53,4,3,3,1
54,3,3,2,5
55,2,2,3,1
56,1,3,4,1
57,4,3,2,3
58,1,4,3,1
59,3,2,3,1
60,1,3,3,1
61,4,1,3,1
62,5,4,3,5
63,4,2,4,4
64,3,2,3,1
65,5,2,3,5
66,3,3,3,5
67,2,2,3,2
68,2,2,1,3
69,3,2,4,2
70,2,2,1,1
71,5,5,3,2
72,1,1,1,4
73,5,3,5,3
74,5,3,4,2
75,4,2,1,1
76,4,1,4,3
77,1,1,1,1
78,1,1,3,4
79,2,2,1,1
80,4,3,2,2
81,3,3,3,2
82,,,,
83,3,2,2,4
84,5,3,4,2
85,4,2,2,4
86,4,3,3,1
87,1,1,2,2
88,,,,
89,4,2,2,2
90,5,3,3,3
