,softness,smoothness,thickness,flexibility
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,4,5,1,3
16,,,,
17,,,,
18,2,2,3,2
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,2,2,1,1
32,,,,
33,,,,
34,5,4,4,4
35,,,,
36,,,,
37,,,,
38,,,,
39,5,5,1,2
40,5,5,2,5
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,2,3,4,1
62,5,5,4,4
63,3,2,4,4
64,2,2,3,1
65,1,1,3,5
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,4,4,3,5
82,,,,
83,3,3,3,2
84,5,5,3,2
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
