,softness,smoothness,thickness,flexibility
1,,,,
2,3,3,1,2
3,2,2,5,3
4,4,4,1,5
5,2,2,3,1
6,3,1,1,5
7,2,2,4,2
8,3,2,3,3
9,5,4,1,5
10,5,1,1,2
11,2,2,4,3
12,3,4,5,1
13,4,4,5,2
14,3,4,1,5
15,3,2,1,4
16,4,4,2,5
17,2,2,2,3
18,2,3,4,2
19,3,2,5,2
20,1,2,1,2
21,2,4,1,1
22,3,3,5,5
23,3,3,1,2
24,4,5,2,5
25,2,2,1,1
26,3,2,4,5
27,2,2,3,5
28,2,2,1,2
29,4,4,2,5
30,3,2,1,1
31,2,2,2,1
32,2,1,2,4
33,4,5,2,5
34,5,2,4,5
35,2,2,2,4
36,2,2,1,1
37,1,1,2,1
38,3,3,1,5
39,2,1,1,2
40,5,5,1,5
41,2,2,1,2
42,5,2,1,5
43,2,2,1,1
44,1,4,1,1
45,4,2,1,5
46,2,2,1,1
47,5,4,1,1
48,3,2,1,5
49,2,1,4,1
50,4,4,4,5
51,3,3,1,4
52,2,2,1,2
53,5,5,2,3
54,3,2,1,5
55,4,4,4,2
56,4,5,4,2
57,3,2,1,3
58,5,5,3,1
59,5,5,2,1
60,5,5,2,2
61,2,3,2,1
62,4,5,1,5
63,2,3,3,4
64,2,1,2,2
65,4,2,3,5
66,4,4,2,5
67,4,2,2,2
68,1,2,2,1
69,2,2,3,3
70,4,1,1,2
71,4,5,2,3
72,2,2,1,4
73,5,4,3,5
74,5,5,3,5
75,5,2,3,1
76,2,2,2,4
77,1,1,1,1
78,3,1,3,5
79,5,2,1,1
80,5,1,1,2
81,3,4,3,2
82,,,,
83,2,2,2,2
84,2,2,3,3
85,2,3,2,5
86,5,5,3,1
87,3,3,1,2
88,,,,
89,2,2,3,2
90,5,3,4,5
