,softness,smoothness,thickness,flexibility
1,,,,
2,3,3,1,2
3,4,2,4,3
4,4,3,3,3
5,3,2,3,1
6,4,3,2,4
7,2,2,3,1
8,3,2,2,2
9,5,5,2,3
10,4,3,1,2
11,2,2,3,1
12,5,3,5,1
13,5,5,5,1
14,4,1,1,2
15,3,5,2,2
16,5,4,3,5
17,4,2,2,2
18,4,3,4,1
19,5,3,5,1
20,4,2,1,2
21,3,5,1,1
22,5,4,5,3
23,4,5,3,1
24,4,5,3,1
25,3,3,1,1
26,4,4,4,3
27,3,2,2,2
28,3,4,1,1
29,4,3,2,3
30,4,4,2,2
31,4,3,2,4
32,4,2,1,4
33,5,4,3,5
34,5,4,4,5
35,3,3,1,2
36,4,2,1,1
37,2,1,2,2
38,4,4,2,5
39,5,3,1,2
40,5,3,2,3
41,4,4,2,2
42,5,4,2,4
43,4,1,1,1
44,3,5,1,1
45,4,1,1,2
46,5,3,2,2
47,2,5,2,1
48,5,3,2,3
49,1,2,3,1
50,5,3,4,3
51,4,4,2,4
52,3,4,1,3
53,3,5,2,1
54,3,2,2,5
55,1,5,2,1
56,4,5,4,1
57,5,4,3,4
58,3,5,4,1
59,3,4,3,1
60,4,5,2,2
61,4,4,3,1
62,4,5,4,5
63,4,3,4,3
64,3,2,2,1
65,5,3,3,5
66,3,4,3,4
67,3,3,3,3
68,3,3,2,2
69,4,2,4,2
70,4,2,2,1
71,5,4,3,2
72,3,2,3,2
73,5,3,4,4
74,5,3,5,3
75,2,4,2,1
76,4,1,3,2
77,2,3,1,1
78,4,2,3,3
79,3,3,1,1
80,4,4,2,2
81,1,2,1,1
82,,,,
83,4,1,2,3
84,5,2,3,1
85,2,2,1,2
86,3,4,4,1
87,4,2,2,3
88,,,,
89,3,3,3,2
90,4,3,3,3
